neighborhood,avg_sale_price_per_m2,avg_rent_price,avg_rent_price_per_m2,avg_rooms,date
21 Dhjetori,2425.953920419578,50000.0,704.2253521126761,2.111111111111111,2025-04-26
Ali Demi,1629.2579136475556,45750.0,614.1472868217055,2.2333333333333334,2025-04-26
Allias,1360.2688277319257,39000.0,562.0788530465951,2.0,2025-04-26
Astir,1398.11129258617,52400.0,710.2661064425771,2.357142857142857,2025-04-26
Blloku,2795.5841087079784,100000.0,1000.0,2.6,2025-04-26
Brraka,1720.2391260966237,33500.0,446.66666666666663,1.9090909090909092,2025-04-26
Brryli,1877.868734933969,50000.0,738.0952380952381,1.903225806451613,2025-04-26
Don Bosko,1762.3440200886862,56250.0,549.7474747474747,2.3157894736842106,2025-04-26
Fresku,1395.1645769103409,35000.0,360.82474226804123,2.2,2025-04-26
Ish Fusha e Aviacionit,1632.40906000667,48000.0,417.39130434782606,1.8235294117647058,2025-04-26
Ish Stacioni i Trenit,2167.4429347643713,,,2.5,2025-04-26
Kamez,830.6520543897612,,,2.230769230769231,2025-04-26
Kinostudio,1651.7775690844737,107250.0,1131.9359910732398,2.35,2025-04-26
Kombinat,1214.373513347802,42666.666666666664,472.94489611562784,2.3333333333333335,2025-04-26
Komuna e Parisit,2391.1505382548958,60000.0,600.0,2.5652173913043477,2025-04-26
Laprake,1584.7132479397048,42000.0,567.5675675675676,2.0,2025-04-26
Medreseja,1734.494527340063,48750.0,698.0373230373231,1.7894736842105263,2025-04-26
Mjull bathore,2285.872399041275,,,2.2972972972972974,2025-04-26
Myslym Shyri,2355.40227758026,99666.66666666667,1268.9263771738,2.5294117647058822,2025-04-26
Oxhaku,1674.6495496484026,50000.0,450.0,2.3043478260869565,2025-04-26
Pallati me shigjeta,1590.968725786413,53333.333333333336,448.1792717086835,1.826086956521739,2025-04-26
Parku,1934.6227281672768,,,2.1470588235294117,2025-04-26
Pazari i Ri,2646.6075019310097,68333.33333333333,780.655278462897,2.4193548387096775,2025-04-26
Porcelani,1774.7926340922681,,,2.56,2025-04-26
Qyteti Studenti,1711.764705882353,51000.0,864.7517953503468,1.8,2025-04-26
Sauk,1785.7149943371764,56666.666666666664,638.8471177944863,2.088235294117647,2025-04-26
Selite,1631.0201931928532,50000.0,666.6666666666666,1.962962962962963,2025-04-26
Shallvaret,2973.1398984202365,89500.0,826.6666666666667,1.8823529411764706,2025-04-26
Shkolla e Bashkuar,1677.5222035147947,38000.0,637.9124579124579,2.6,2025-04-26
Shkoze,1279.2326971998107,,,1.9705882352941178,2025-04-26
Tufine,1144.7608130157626,36000.0,807.5,2.1818181818181817,2025-04-26
Varri i Bamit,1082.824253774572,50000.0,833.3333333333334,1.9230769230769231,2025-04-26
Vasil Shanto,2183.1315938509047,50000.0,750.9157509157509,2.5,2025-04-26
